,右-Fx,右-Fy,右-Fz,右-Mx,右-My,右-Mz,右-Mx',右-My',右-COPx,右-COPy,左-Fx,左-Fy,左-Fz,左-Mx,左-My,左-Mz,左-Mx',左-My',左-COPx,左-COPy,合成-Fx,合成-Fy,合成-Fz,合成-Mx,合成-My,合成-Mz,合成-COPx,合成-COPy,右-速度計,左-速度計,右-速度,左-速度,右-実速度,左-実速度,引張力,負荷制御,右-Fy電圧,左-Fy電圧,右-Fz電圧,左-Fz電圧
0.024,-19.1755139812477,9.4123557599764,330.028436891063,-4.83333333333333,-24.45,4.1,-5.98540567835444,-26.7970829113047,81.1962846709175,-18.1360301395183,20.1687714404686,-4.90675310001422,387.616188883859,-14,8.4,0.35,-13.3994134205583,10.8686576243134,-28.0397412079451,-34.568766230177,0.993257459220899,4.50560265996218,717.644625774923,-19.3848190989127,-27.6763266935217,1.52890179256191,38.5655040106186,-27.0117247488347,0.025634765625,0.010986328125,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.79833984375,0,0.0048828125,0.00396728515625,0.037841796875,-0.0030517578125
0.025,-19.1645606124636,9.39346330087783,329.950989337607,-5.5,-24.55,4.25,-6.64975990802745,-26.8957422189655,81.5143554288475,-20.1537807823434,20.1468913693259,-4.9421054437712,387.518151798335,-13.8333333333333,8.45,0.4,-13.2284196270157,10.9159795036055,-28.1689501587172,-34.1362580452743,0.982330756862353,4.45135785710663,717.469141135942,-19.8781795350432,-27.7234638573486,1.7255439760916,38.640635907288,-27.705971442299,0.018310546875,0.0146484375,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.79833984375,0,0.0054931640625,0.00518798828125,0.0372314453125,-0.0030517578125
0.026,-19.1534571676838,9.37398518279431,329.880638430822,-5.33333333333333,-24.6,4.2,-6.48070911970736,-26.9443831573245,81.6791894349838,-19.6456183379989,20.1250662915578,-4.97667427592814,387.419867047256,-14,8.5,0.4,-13.3908550686264,10.9633081140867,-28.2982599670073,-34.5641930308985,0.971609123873922,4.39731090686618,717.300505478078,-19.8715641883338,-27.7190776809904,1.67246547042062,38.6436053917399,-27.7032624912057,0.02197265625,0.0128173828125,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.859375,0,0.0054931640625,0.0042724609375,0.03753662109375,-0.00274658203125
0.027,-19.1421227543642,9.35392101412239,329.818501533861,-5,-24.7,4.35,-6.14491993212858,-27.0429958251342,81.9935682788182,-18.6312165738152,20.103535600754,-5.01018631650429,387.321461468237,-14.5,8.45,0.45,-13.8867531948599,10.9106727575323,-28.1695538279049,-35.8533016534088,0.961412846389862,4.3437346976181,717.139963002099,-20.0316731269885,-27.8629268942145,1.86972210455216,38.8528437009345,-27.932724656888,0.018310546875,0.0146484375,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.7373046875,0,0.00579833984375,0.0048828125,0.037841796875,-0.00244140625
0.028,-19.1306409964008,9.33346343564688,329.765607032909,-5,-24.8,4.35,-6.14241592452318,-27.1415904579595,82.3057040489091,-18.6266117312537,20.0826469022704,-5.04254874646602,387.223230794528,-14,8.6,0.3,-13.3827920334326,11.0581159808379,-28.5574704754882,-34.5609224063674,0.952005905869605,4.29091468918086,716.988837827437,-19.5252079579557,-27.8048297244919,1.71729351484897,38.7800036172723,-27.2322342103951,0.02197265625,0.010986328125,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.79833984375,0,0.00579833984375,0.0042724609375,0.03662109375,-0.0030517578125
0.029,-19.1192731791973,9.31299613393446,329.722842213043,-5.83333333333333,-24.65,4.4,-6.97324406012691,-26.9901990371337,81.8572315341582,-21.1488048972395,20.0628281884704,-5.07382061573966,387.125719209408,-13.1666666666667,8.35,0.3,-12.5456310233001,10.8056901702688,-27.9126124514182,-32.4071235797015,0.943555009273066,4.2391755181948,716.848561422451,-19.518875083427,-27.8946957741236,1.76508938306648,38.9129549465396,-27.22872881923,0.0146484375,0.0128173828125,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.859375,0,0.00579833984375,0.003662109375,0.03753662109375,-0.00274658203125
0.03,-19.108380381933,9.29299470041099,329.690827398291,-6,-24.7,3.95,-7.13746255133031,-27.0388657587486,82.0127935378793,-21.6489570172595,20.0445476391068,-5.10412843367639,387.02973228573,-13.8333333333333,8.1,0.45,-13.2085880130513,10.5534526310267,-27.2678085187405,-34.1280963998392,0.936167257173729,4.1888662667346,716.720559684021,-20.3460505643817,-28.1825497247596,1.46298688064618,39.3215310262404,-28.3877032540431,0.0238037109375,0.0128173828125,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.67626953125,0,0.0067138671875,0.006103515625,0.03936767578125,0.0018310546875
0.031,-19.0982883173794,9.27389463331217,329.669849856876,-6,-24.55,4.1,-7.13512470311741,-26.8876304900472,81.5592645239483,-21.6432430997711,20.028273979858,-5.13357021736649,386.936233663131,-13.8333333333333,8.1,0.4,-13.2049843387277,10.5514607351346,-27.2692496002346,-34.1270297012918,0.929985662478639,4.14032441594568,716.606083520007,-20.3401090418451,-28.0185120513887,1.56087717046155,39.0989034223102,-28.3839469265086,0.0238037109375,0.0146484375,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.859375,0,0.00640869140625,0.0054931640625,0.0390625,0.0018310546875
0.032,-19.0891461668673,9.25598407799975,329.659924726515,-6.16666666666667,-24.5,3.9,-7.29959911781384,-26.8365114908246,81.4066541848787,-22.1428161881356,20.0144388755423,-5.16215806875023,386.846223716175,-14,8.15,0.3,-13.368151852385,10.5997673183664,-27.400467339558,-34.5567593344095,0.925292708674974,4.09382600924953,716.50614844269,-20.6677509701988,-27.9027491663487,1.258699002063,38.9427909683605,-28.8451829968518,0.0201416015625,0.0146484375,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.7373046875,0,0.00579833984375,0.0048828125,0.0390625,0.00091552734375
0.033,-19.0808358381647,9.23936083971073,329.660897114025,-6.33333333333333,-24.7,3.95,-7.46423110011393,-27.0354943065914,82.0100125409784,-22.6421488428218,20.0033998391819,-5.18982858332365,386.76065008146,-14.5,8.35,0.2,-13.8647649814012,10.7984161403159,-27.9201520062641,-35.8484374728427,0.922564001017182,4.04953225638709,716.421547195484,-21.3289960815151,-27.8854277716322,1.20644535770099,38.9232120122475,-29.7715725678687,0.018310546875,0.010986328125,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.859375,0,0.006103515625,0.00579833984375,0.03875732421875,0.00030517578125
